id,trigger,conditions,script,text,options,notes
#RULESET_NAME liminal,,,,,,
,,,,,,
liminal_galatia_start0,PopulateOptions,"$id == station_galatia_academy
!$player.liminal_hullmods_enabled",,"눈 한쪽 귀퉁이로 흥분한 연구자 무리가 당신을 손짓해 부르는 것이 보입니다.",97:liminal_galatia_liminalitystart:연구자들과 이야기하기,
liminal_galatia_start_c1,PopulateOptions,"$id == station_galatia_academy
$player.credits < 30000","SetTooltip liminal_galatia_liminalitystart ""Requires at least 30,000 credits.""
SetTooltipHighlights liminal_galatia_liminalitystart ""30,000""
SetEnabled liminal_galatia_liminalitystart false",,,
liminal_galatia_liminalitystart,DialogOptionSelected,$option == liminal_galatia_liminalitystart,Liminal_ShowAndCreatePerson liminal_elna,"연구자 무리에게 다가갑니다. 나이와 눈에 역력한 수면 부족의 약간 광적인 기색으로 보아 대부분이 학생이나 박사후 연구원인 듯합니다.

""$PlayerSirOrMadam! 잠깐 시간 좀 내주실 수 있나요?"" 그들 중 한 명인, 포니테일에 눈 밑에 다크서클이 진한 젊은 여성이 앞으로 나섭니다. ""함장님의 업적에 대해 정말 많이 들었습니다! 명성이 자자하시더군요 - 과학적 발전을 지지하기로 유명한 성공한 독립 함장님. 평생 한 번 올까 말까 한 기회를 드리려 합니다.""","liminal_galatia_hear_them_out:이야기를 들어보기
liminal_galatia_busy:바쁘다고 말하기",
liminal_galatia_busy,DialogOptionSelected,$option == liminal_galatia_busy,FireAll PopulateOptions,"""물론이죠, 물론이에요. 하지만 시간이 나시면 꼭 다시 와주세요 - 이건 모든 것을 바꿔놓을 수 있다고요!""",,
liminal_galatia_hear_them_out,DialogOptionSelected,$option == liminal_galatia_hear_them_out,"ShowImageVisual liminal_liminality
SetTextHighlightColors ""255,165,0,255""
SetTextHighlights ""Liminality""
FireAll liminal_galatia_options","그녀는 자신을 엘나 루소 박사라고 소개합니다. 쌍둥이 남동생 야른과 함께 프로젝트의 책임자라고 하는데, 더 높은 사람이 아직 눈치채지 못했기 때문만이라는 인상을 받습니다. 그들은 아카데미의 주요 통로에서 멀리 떨어진 조용한 구석의 작은 실험실로 당신을 안내합니다. 실내 중앙의 기계 장치 묶음 속에서, 약 1미터 크기의 부유하는 기하학적 형체처럼 보이는 것으로부터 주황색 광채가 뿜어져 나오는 것이 보입니다. 그 주위의 공기가... 어딘가 이상합니다. 마치 현실 자체가 휘는 것 같습니다.

""이것이,"" 엘나가 간신히 흥분을 억누르며 말합니다. ""리미널리티입니다. 현재의 것과 있을 수 있는 것 사이의 다리! 올바른 자원과 연구를 투입한다면, 물리 법칙은 우리의 놀이터가 됩니다!""",,
liminal_galatia_options_3,liminal_galatia_options,!$liminal_galatia_asked_3,,,liminal_galatia_where_from:어디서 구했는지 묻기,
liminal_galatia_where_from,DialogOptionSelected,$option == liminal_galatia_where_from,"$liminal_galatia_asked_3 = true 0
FireAll liminal_galatia_options","""어떤 고물상이 섹터 변방의 암석에 그야말로 박혀 있는 것을 발견했고, 결국 여기까지 흘러들어 왔어요."" 엘나가 불편한 듯 몸을 움직입니다. ""도메인 기록 어디에도 언급이 없어요. 쿠뢰즈까지 포함해서 거의 모두가 정체를 밝히려 했지만, 10여 년이 지나도 아무런 성과가 없자 그냥 신기한 물건으로 치부하고 먼지만 쌓이도록 내버려뒀죠.""

""우리가 기회를 얻기 전까지는 그냥 신기한 물건이었죠,"" 야른이 씩 웃으며 말합니다.",,
liminal_galatia_options_1,liminal_galatia_options,!$liminal_galatia_asked_1,,,liminal_galatia_how_work:어떤 기능을 하는지 묻기,
liminal_galatia_how_work,DialogOptionSelected,$option == liminal_galatia_how_work,"$liminal_galatia_asked_1 = true 0
Liminal_ShowAndCreatePerson liminal_jarn
SetTextHighlightColors ""155,255,0,255"" ""255,165,0,255"" ""155,255,0,255"" ""155,255,0,255""
SetTextHighlights ""Linkage"" ""Liminality"" ""Instruction"" ""Linkage"" ","""글쎄요, 솔직히 말하면 저희도 완전히 확신하진 못해요. 가장 유력한 추측은 이것이, 정체가 무엇이든, 우리 우주와... 다른 무언가 사이의 연결을 만들어낸다는 거예요. 어딘가 다른 곳과. 그 연결을 이용해서 물리 법칙을 국소적으로 바꿀 수 있어요. 마치 현실을 프로그래밍하는 것처럼요,"" 야른이 말합니다. ""연구는 아직 초기 단계예요.""

""지금까지 알아낸 바로는, 리미널리티 옆의 무언가를 먼 곳의 물체와 연결하는 링키지와, 링키지에게 할 일을 알려주는 인스트럭션이 필요해요. 예를 들어...""

그가 기호가 새겨진 금속판을 당신에게 던지더니, 두 번째 판을 유물 쪽으로 던집니다. 두 번째 판에는 첫 번째 판에 있던 기호를 포함한 빽빽한 기호들이 가득합니다.",liminal_galatia_catch_sheet:판을 받기,
liminal_galatia_catch_sheet,DialogOptionSelected,$option == liminal_galatia_catch_sheet,"SetTextHighlightColors ""255,165,0,255"" ""155,255,0,255""
SetTextHighlights ""Liminality"" ""Instructions""
FireAll liminal_galatia_options","판을 받으면서, 두 번째 판이 리미널리티에 가까워질수록 속도가 느려지다가 공중에 떠서 주위를 선회하기 시작하는 것을 알아챕니다. 당신이 든 판은 손에서 빠져나가 큰 소리와 함께 천장에 부딪힙니다.

""짜잔."" 야른이 손을 흔듭니다. ""반중력이에요. 금속 조각에 몇 글자 긁적인 것만으로 작동시킨, 저희가 처음으로 성공시킨 인스트럭션 중 하나예요. 다음에는 무엇을 할 수 있을지 상상해보세요.""",,
,,,,,,
liminal_galatia_options_5,liminal_galatia_options,"!$liminal_galatia_asked_5
$liminal_galatia_asked_1
$liminal_galatia_asked_2",,,liminal_galatia_why_not_bigger:헤게모니나 트라이-테키온에 접근하지 않는 이유 묻기,
liminal_galatia_why_not_bigger,DialogOptionSelected,$option == liminal_galatia_why_not_bigger,"$liminal_galatia_asked_5 = true 0
FireAll liminal_galatia_options","""도덕적, 철학적 이유를 제쳐두고요?""

""규모 확장이 안 돼요,"" 야른이 말합니다. ""운용하는 데 엄청난 자원이 들고, 사용량이 늘수록 그 양이 기하급수적으로 증가해요. 소규모 함대라면 가능하죠. 하지만 헤게모니 전체에 장착하려면 우주에 존재하는 것보다 더 많은 자원이 필요할 거예요.""",,
liminal_galatia_options_2,liminal_galatia_options,!$liminal_galatia_asked_2,,,liminal_galatia_what_need:당신에게 무엇이 필요한지 묻기,
liminal_galatia_what_need,DialogOptionSelected,$option == liminal_galatia_what_need,"$liminal_galatia_asked_2 = true 0
ShowImageVisual liminal_liminality
SetTextHighlightColors h h ""255,165,0,255"" h h
SetTextHighlights ""ongoing funding"" ""30,000"" ""Liminality"" ""hullmods"" ""operating costs""
FireAll liminal_galatia_options","""자금이 필요해요. 상당한 자금이요. 이걸 기본 수준으로만 운용하는 데 얼마나 많은 에너지와 자원이 드는지 믿기 어려우실 거예요. 원하는 모든 것을 다 한다면, 아카데미조차 금방 파산시킬 거예요."" 엘나가 고개를 젓습니다.

""하지만 함장님 같은 독립 함장이라면? 여기에 담긴 가능성을 볼 자원과 비전을 가진 분이라면? 될 수 있어요. 저희는 함장님의 투자가 필요해요, 지금뿐만 아니라 앞으로도요. 물론 지속적인 자금 지원 외에 선불금도 필요해요. 3만 크레딧이요."" 그들이 자금이 거의 바닥났다는 것을 알 수 있습니다.

""하지만 그 대가로, 저희가 리미널리티를 이용해 함장님의 함대를 전례 없는 방식으로 강화해 드릴게요! 불가능한 일을 해내는 특수 함체 개조들이요. 시간을 거슬러 여행하는 함선을 원하세요? 별을 파괴하는 미사일을 발사하는 함선은요? 드릴 수 있어요. 이론적으로는요, 물론 연구를 다 마친 후에요. 그리고 물론 이 개조들의 운영 비용도 내셔야 해요.""",,
