id,name,cost mult,build time,income,upkeep,downgrade,upgrade,tags,data,image,plugin,desc,order,disruptDanger
population,인구 & 기반시설,,,10,3,,,"population, unraidable, no_saturation_bombardment",,graphics/icons/industry/population.png,com.fs.starfarer.api.impl.campaign.econ.impl.PopulationAndInfrastructure,구불구불한 궤도 거주 모듈부터 거대 도시 및 그 사이의 모든 것에 이르기까지 특정 인구를 지원하는 데 필요한 기본 인프라입니다.,100,
farming,농업,15,60,,1,,,"farming, industry, rural",,graphics/icons/industry/farming.png,com.fs.starfarer.api.impl.campaign.econ.impl.Farming,"농업은 문명만큼이나 오래된 무역이자 기술입니다. 수천 번의 주기 동안 인류는 생계를 유지하기 위해 자연, 변형 및 인공 생물학적 기계의 힘을 활용해 왔습니다. 항상 그랬고, 인간이 인간인 한 앞으로도 그러할 것입니다.",200,LOW
aquaculture,양식업,50,60,,3,,,"farming, industry, rural",,graphics/icons/industry/aquaculture.png,com.fs.starfarer.api.impl.campaign.econ.impl.Farming,수중 세계에서 양식을 하려면 생명공학에 적합한 종에 대한 상당한 초기 투자가 필요하지만 일단 프로세스가 시작되면 전문 교육이나 장비를 많이 요구하지 않고도 조류 양식장과 어업을 인구가 운영할 수 있습니다.,210,MEDIUM
mining,광업,20,60,,2,,,"mining, industry, industrial",,graphics/icons/industry/mining.png,com.fs.starfarer.api.impl.campaign.econ.impl.Mining,"금속 및 준금속 광석, 유기물, 휘발성 화합물을 모두 추출하려면 중장비, 특수 인프라, 숙련된 인력이 필요합니다. 가혹한 업무는 특정 유형의 사람들을 끌어들이고, 때때로 다른 길을 보려고 하지 않는 행정부는 기꺼이 인력이 부족하다는 것을 알게 될 수도 있습니다.",300,MEDIUM
techmining,기술광업,30,45,,2,,,"techmining, industry, industrial",,graphics/icons/industry/techmining.png,com.fs.starfarer.api.impl.campaign.econ.impl.TechMining,Techmining은 도메인 폐허에서 귀중한 유물을 복구하는 잡다한 기술입니다. 고유한 위험을 처리하기 위한 특별한 도구와 좋은 값싼 물건을 찾을 수 있는 위치를 알기 위한 전문가 판단이 필요합니다. 가장 나이가 많은 기술 광부들은 행운의 부적을 움켜쥐고 의식 없이는 일하기를 거부하는 이상한 사람들입니다.,400,MEDIUM
refining,정련업,45,90,,3,,,"refining, industry, industrial",,graphics/icons/industry/refining.png,com.fs.starfarer.api.impl.campaign.econ.impl.Refining,이곳의 제련소는 광석과 초플루토닉 광석을 각각 금속과 초플루토닉으로 변환합니다. 일반적으로 원격 조종 로봇은 가장 위험한 작업을 처리하는 데 사용됩니다.,500,MEDIUM
spaceport,우주항구,10,15,,3,,megaport,"spaceport, important, structure",,graphics/icons/industry/spaceport.png,com.fs.starfarer.api.impl.campaign.econ.impl.Spaceport,화물을 싣고 내리며 기본적인 우주선 수리를 수행하는 시설입니다. 우주항이 없는 식민지는 사실상 성간 무역에 접근할 수 없습니다.,150,HIGH
megaport,거대항구,60,150,,4,spaceport,,"spaceport, structure",,graphics/icons/industry/megaport.png,com.fs.starfarer.api.impl.campaign.econ.impl.Spaceport,별들이 흙과 닿을 수 있는 광대한 우주항입니다. 연대형 착륙선 갠트리와 장갑 연료 탱크가 진입로와 단거리 화물 트램으로 연결되어 있어 광범위한 창고 구역과 물류 터미널에 공급되어 식민지에 대한 접근이 훨씬 더 쉬워졌습니다.,151,EXTREME
lightindustry,경공업,45,90,,8,,,"lightindustry, industry, rural",,graphics/icons/industry/light_industry.png,com.fs.starfarer.api.impl.campaign.econ.impl.LightIndustry,국산품과 명품을 생산합니다. 기술 수준이 낮기 때문에 붕괴의 영향을 상대적으로 받지 않는 몇 안 되는 산업 중 하나입니다.,1400,MEDIUM
heavyindustry,중공업,100,120,,12,,orbitalworks,"heavyindustry, uses_blueprints, industry, industrial",,graphics/icons/industry/heavy_industry.png,com.fs.starfarer.api.impl.campaign.econ.impl.HeavyIndustry,"중공업 장비, 보급품, 무기 생산을 위한 중앙 집중식 제조 인프라입니다. 또한 거의 우주에 사용할 수 없는 우주선을 생산할 수도 있습니다. 생산 품질을 향상시키기 위해 nanoforge를 설치할 수 있습니다.",1600,HIGH
