name,id,tier,rarity,tech/manufacturer,tags,uiTags,base value,unlocked,hidden,hiddenEverywhere,cost_frigate,cost_dest,cost_cruiser,cost_capital,script,desc,short,sModDesc,sprite
가속 방어막,advancedshieldemitter,0,,,"defensive, shields, merc, standard",Shields,3000,,,,3,6,9,15,data.hullmods.AcceleratedShieldEmitter,"함선의 방어막 선회 속도를 %s, 방어막 전개 속도를 %s 증가시킵니다.",방어막 선회 속도 및 전개 속도 증가.,방어막의 선회 속도와 전개 속도를 추가로 %s 증가.,graphics/hullmods/accelerated_shields.png
적응형 위상 코일,adaptive_coils,2,,,"phase, merc, standard",Phase,5000,,,,5,10,15,25,com.fs.starfarer.api.impl.hullmods.AdaptivePhaseCoils,"위상 코일은 함선의 하드 플럭스 수치가 높아질수록 일반 공간과의 연결을 유지하기 어려워지며, 코일이 추진력을 얻지 못해 최고 속도가 크게 감소합니다.

이 개조를 통해 코일이 더 높은 하드 플럭스를 처리할 수 있게 되어, 속도가 최저치에 도달하는 임계값을 %s 증가시킵니다. 다른 개조가 없는 표준 코일의 경우 임계값이 %s에서 %s로 증가합니다.",위상 중 하드 플럭스가 최고 속도에 미치는 영향 감소.,,graphics/hullmods/phase_field.png
고급 광학장치,advancedoptics,2,,,"offensive, merc, standard",Weapons,1000,,,,5,10,15,25,data.hullmods.AdvancedOptics,"빔 무기의 사거리를 %s 연장하지만, 선회 속도를 %s 감소시킵니다. 통합 조준 장치와 중첩 적용됩니다.",빔 무기 사거리 증가.,,graphics/hullmods/advanced_optics.png
고급 포탑 자이로,turretgyros,0,,,"defensive, merc, standard",Weapons,2500,,,,2,4,6,10,data.hullmods.AdvancedTurretGyros,모든 포탑의 선회 속도를 %s 증가시킵니다.,포탑 선회 속도 증가.,미사일과 전투기에 대한 피해를 %s 증가. 크기 차이 1단계마다 소형 함선에 대한 피해를 %s 증가.,graphics/hullmods/advanced_turret_gyros.png
장갑 무기 마운트,armoredweapons,0,,,"defensive, merc, standard","Weapons, Defenses",2500,TRUE,,,3,6,9,15,data.hullmods.ArmoredWeapons,"모든 무기의 내구도를 %s 증가시키고 반동을 %s 감소시키지만, 무기 선회 속도를 %s 감소시킵니다. 또한 함선의 장갑을 %s 증가시킵니다.","무기 비활성화 저항 강화, 반동 감소.",모든 비미사일 무기의 발사 속도를 %s 증가.,graphics/hullmods/armored_weapon_emplacements.png
강습 패키지,assault_package,1,,,"defensive, civ_package, no_drop, no_drop_salvage, hide_in_codex","Special, Defenses",8000,,,,3,6,9,15,com.fs.starfarer.api.impl.hullmods.AssaultPackage,"함선의 선체 강도를 %s, 장갑을 %s, 플럭스 용량을 %s 증가시킵니다.

전투에서 적에게 교전을 시도하며 전투함으로 행동합니다.","선체 강도, 장갑, 플럭스 용량 증가.",,graphics/hullmods/assault_package.png
자동 수리 장치,autorepair,2,,,"engines, defensive, merc, standard",Defenses,7500,,,,3,6,9,15,data.hullmods.AutomatedRepairUnit,전투 중 비활성화된 무기와 엔진의 수리 시간을 %s 단축합니다.,전투 중 무기 수리 속도 증가.,"수리 시간을 %s로 단축하고, 과부하 지속 시간을 %s 감소.",graphics/hullmods/automated_repair_unit.png
보조 추진기,auxiliarythrusters,1,,,"engines, merc, standard",Engines,5000,TRUE,,,4,8,12,20,data.hullmods.AuxiliaryThrusters,함선의 기동성을 %s 향상시킵니다.,기동성 향상.,"플럭스 제로 속도 보너스를 %s 증가, 플럭스 제로 선회 속도 보너스를 %s.",graphics/hullmods/auxilliary_thrusters.png
탄도 거리 측정기,ballistic_rangefinder,2,,,"offensive, merc, standard",Weapons,8000,,,,5,10,15,25,com.fs.starfarer.api.impl.hullmods.BallisticRangefinder,<스크립트에서 생성되는 툴팁>,소형·중형 탄도 슬롯 무기의 기본 사거리 증가.,,graphics/hullmods/ballistic_rangefinder.png
방폭 격벽,blast_doors,0,,,"defensive, merc, standard",Defenses,2500,TRUE,,,4,8,12,20,data.hullmods.BlastDoors,"함선 내 주요 지점에 기밀 강화 격벽을 추가로 설치합니다. 선체 강도를 %s 증가시킵니다.

전투 중 선체 피해로 인한 선원 사상자를 %s 감소시킵니다.","선체 강도 증가, 선원 사상자 감소.",선원 사상자 감소율을 %s로 증가.,graphics/hullmods/blast_doors.png
개조 격납고,converted_hangar,1,,,"special, non_phase, merc, standard",Fighters,5000,,,,0,10,10,10,com.fs.starfarer.api.impl.hullmods.ConvertedHangar,<스크립트에서 생성되는 툴팁>,비항모용 임시 전투기 격납고.,"순양함의 전투기 교체 속도 회복율을 %s 증가, 전함은 %s 증가. 구축함에는 추가 효과 없음.",graphics/hullmods/converted_hangar.png
