id,type,text1,text2,text3,text4,notes
lightmg,WEAPON,"우주 전투의 역사를 통틀어 근거리에서 미사일과 전투기를 상대로 효과적으로 사용되어 온 유서 깊은 저비용, 쉽게 사용할 수 있는 속사 무기의 한 종류입니다. 제대로 장갑을 갖춘 표적에 비해 거의 쓸모가 없습니다.
 
 제조 및 수정이 용이하기 때문에 수백 가지 변형이 존재합니다. 특정 구경 이하의 화학적으로 추진된 불활성 발사체(조잡한 자동 단조로도 쉽게 휘저어질 수 있음)를 빠르게 발사하는 이러한 무기는 모두 함선 탑재 기관총으로 분류될 수 있습니다. 이러한 무기의 작동을 촉진하는 메커니즘은 상당히 다양합니다. 
 
 가격이 저렴하여 소형 민간 함선에 인기가 있습니다. 녹는점이 높은 금속으로 피복된 발사체는 총구 속도를 높이고 근거리에서 놀랍도록 많은 양의 운동 에너지를 전달합니다.",,,,
lightdualmg,WEAPON,"유서 깊은 경기관총의 업그레이드된 트윈 배럴 버전입니다. 장갑 표적에는 효과적이지 않지만 인간 우주 전투가 시작된 이래 대미사일 및 전투기 역할에 탁월했습니다.
 
 이것은 모든 조종사에게 알려진 것과 동일한 속사력, 불활성, 저구경 화학 발사체 무기의 이중 마운트입니다. 부문에서. 미사일 차단과 대 전투기 역할 모두에 탁월한 탁월한 지점 방어용 마운트입니다. 
 
 근거리에서 적 항공기의 방어막 시스템에 전달되는 다량의 운동 에너지는 일반적으로 경험이 부족한 선장이 종종 간과하는 전술 옵션인 방출기 과부하를 유발합니다.",,,,
lightmortar,WEAPON,"낮은 연사력, 총구 속도, 사거리로 대장갑탄을 발사하는 구식 무기입니다. 낮은 플럭스 축적은 고독한 절약의 은혜입니다.
 
 경 박격포의 무기 청사진은 우주선용으로 전혀 의도되지 않았지만 약실 장전 메커니즘의 독창적인 수정으로 대기 환경 외부에서 설치 및 사용이 가능해졌습니다. 전투에서 경박격포는 끔찍한 마운트 회전과 발사 속도로 인해 움직이는 표적이나 보호된 표적에 대해 할 수 있는 것이 거의 없습니다. 그럼에도 불구하고, 이는 공간 탄도 전술 및 명명법의 세부 사항에 대해 초보 포수 장교를 훈련하는 데 자주 사용됩니다.
 
 질량과 비용이 낮기 때문에 개인 요트와 단독 행성 간 차량에 일반적으로 장착됩니다.",,,,
heavymortar,WEAPON,"작은 사촌보다 다소 높은 발사 속도로 더 큰 대장갑탄을 발사하는 구식 무기입니다. 투사체 속도가 느리고 유효 사거리가 짧습니다. 낮은 플럭스 축적은 유일한 구원의 은혜입니다.
 
 중 박격포는 원래 행성 표면 전투에 사용하도록 설계되었습니다. 표면적으로는 요새를 파괴하기 위해 고안된 것으로, 도시 폭격에 훨씬 더 많이 사용되었습니다. 견고한 내부 메커니즘 덕분에 사소한 조정, 특히 자동 거리 측정기/표적 지정 모듈 교체만으로 대기 환경 외부에서 설치 및 사용이 가능합니다. 크고, 보호막이 없고, 느리게 움직이는 표적을 상대할 때 무거운 박격포가 가장 효과적일 수 있습니다.",,,,
vulcan,WEAPON,"특히 근거리에서 미사일과 전투기에 파괴적인 속사 무기입니다. 장기간 화재가 발생하면 정확도가 급격히 떨어집니다. 
 
 이 다중 배럴 무기 플랫폼은 일반적으로 헤게모니 승인 자동차 공장에서만 제조되는 고급 타이밍 메커니즘을 기반으로 구축되었습니다. 탄약은 일반적으로 열화우라늄 팁을 사용하며 폭발성이 없습니다. 다중 배럴은 높은 플럭스 비용에도 불구하고 매우 높은 발사 속도를 가능하게 합니다.",,,,
lightac,WEAPON,"이런 가벼운 무기에 사거리가 좋은 소구경 기관포입니다. 적의 방어막에 대응하도록 설계되었으며 작은 선체 크기에 장착된 약한 발전기에 특히 효과적입니다.
 
 소형 함선에 뛰어난 화력 지원 무기를 제공하는 고속 운동탄이 특징입니다. 복잡한 자동 장전 장치와 액체 냉각으로 인해 탑재 회전율이 좋지 않기 때문에 소형 기관포는 전투기나 미사일에 비해 나쁜 선택입니다.",,,,
lightdualac,WEAPON,"Light Autocannon의 이중 총신 버전입니다. 근거리 지원을 위한 뛰어난 무기이자 방어막을 무너뜨리는 데 매우 효과적이며 높은 반동으로 인해 유효 사거리가 짧아집니다.
 
 독창적인 기계 설계로 배출 포트가 막히는 것을 방지하는 동시에 사용한 포탄 케이스를 두 배나 배출합니다. 표준 Light Autocannon 섀시. 단일 배럴 버전과 마찬가지로 이 무기는 적의 보호막을 뚫을 수 있도록 설계된 고속 탄환을 발사합니다. 오토로더 및 액체 냉각 시스템은 단일 배럴 버전과 동일합니다.",,,,
lightag,WEAPON,"근거리 전투용으로 설계된 소구경 대포로, 장갑 대비 성능이 뛰어나며 연사력도 뛰어납니다.
 
 고폭탄을 발사하도록 설계된 소구경 대포입니다. 냉각수 시스템과 자동 로더의 설계는 안전과 높은 플럭스 수준으로 인해 발생할 수 있는 쿡오프 방지를 강조합니다. 증명할 것이 있는 구축함 선장이 선호합니다.",,,,
fragbomb,WEAPON,"발사체의 추진력을 유지하는 자유 부동 폭탄 클러스터를 방출합니다. 폭탄에는 근접 퓨즈가 장착되어 있습니다.
 
 파편 폭탄 프로젝터는 세 개의 튜브에서 Mark VI 파편 폭탄을 발사합니다. 유도되지 않고 추진 시스템도 없는 이 폭탄은 아군 표적 시스템에 의존합니다. 그들의 엄청난 수 덕분에 넓은 공간을 커버할 수 있으며 비록 제한된 시간 동안이라도 해당 위치에 지점 방어 장벽을 효과적으로 생성할 수 있습니다. 근접 신관이 적 항공기에 의해 작동되면 폭탄이 폭발하여 대공 무기와 유사한 효과를 얻습니다.",,,,
clusterbomb,WEAPON,"자유롭게 떠다니는 고폭탄 덩어리를 발사합니다. 보호막이 없고 느리게 움직이는 표적에 비해 더 효과적입니다.
 
 클러스터 폭탄 프로젝터에는 수십 개의 Mark II 폭발성 관통자 폭탄을 발사하도록 설계된 세 개의 튜브가 장착되어 있습니다. 폭탄은 유도되지 않고 추진 시스템도 없으며 표적과 교전하기 위해 공격기의 초기 추진력에 의존합니다. 그들은 아군 또는 적군 표적 스캐너를 갖추고 있으며 적절한 표적에 충돌할 때만 폭발합니다. 성형된 폭발물은 보호되지 않은 표적에 비해 매우 효과적입니다. 이 무기 시스템으로 배치할 수 있는 폭탄의 수는 엄청나므로 클러스터 폭탄은 유용한 지역 거부 무기가 됩니다.",,,,
bomb,WEAPON,"검증된 무기 시스템인 폭탄 베이에는 목표물에 도달하기 위해 발사체의 속도에 의존하는 여러 개의 탄두가 있습니다.
 
 각 폭탄 베이에는 여러 개의 비유도 고폭 Comp-X 폭탄이 장착되어 있습니다. 한 번에. 폭탄에는 추진 시스템이 없으며 발사체의 속도에 따라 목표물까지 운반됩니다(즉, 급강하 폭격). 설계에 내재된 대기 차폐 기능은 적대적인 지점 방어 환경에서 폭탄의 생존 시간을 높여줍니다.",,,,
lightneedler,WEAPON,"높은 연사 속도로 작은 화살탄을 발사합니다. 발사량은 쉴드 프로젝터를 빠르게 압도할 수 있지만 일반적으로 갑옷에는 효과적이지 않습니다.
 
 라이트 니들러(Light Needler)는 케이스 없는 탄약을 발사하도록 설계된 소구경 화살총입니다. 초당 수백 개의 ""바늘""을 전달할 수 있는 인상적인 공급 시스템이 특징입니다. 이젝터 시스템이 필요하지 않으며, 절약된 공간을 추가 냉각 장치에 사용하여 발사 속도를 크게 향상시킵니다. 
 
 도메인 해군 교리에서는 이 무기가 장거리에서 적의 방패에 사용되어야 한다고 주장하지만, 위기에 처하면 포수 장교는 니들러를 적 전투기 날개와 장거리 미사일 위협에 훈련시킬 것입니다.",,,,
railgun,WEAPON,"오토캐논을 첨단 기술로 개량한 레일건은 정확한 중거리 슬러그를 발사합니다. AC와 마찬가지로 적의 쉴드 생성기를 압도하는 데 탁월합니다.
 
 가우스 캐논의 소형 버전인 레일건은 강력한 자기장을 이용해 높은 속도로 포탄을 발사합니다. 명중률과 사거리가 뛰어나며, 포탑은 발사하지 않는 동안 빠르게 회전할 수 있습니다. 
 
 충분한 플럭스 용량을 갖춘 포수 장교는 기관포보다 레일건을 선호합니다.",,,,
shredder,WEAPON,"뛰어난 조작성과 신뢰성을 제공하도록 넉넉하게 설계된 회전식 대포입니다. 한편, 페르세우스 구역의 전문 해군의 무기 장교들은 열악한 유지 관리 습관을 보상하는 Thumper를 저주합니다. 
 
 소형 탑재량, 중속 파편탄의 압도적인 우박으로 적의 미사일과 전투기를 분쇄합니다. 이 무기 시스템은 플럭스 효율적이지만 갑옷과 방패에는 효과가 거의 없습니다.",,,,
flak,WEAPON,"전투기와 미사일에 대한 최대 효과를 위해 근접 신관이 장착된 파편으로 채워진 포탄을 발사하는 방어 무기 시스템입니다.
 
 특히 공격 역할에서 작고 값싼 전투기의 인기가 높아짐에 따라 이 무기 시스템의 더 넓은 배치가 이루어졌습니다. 붕괴 전의 힘든 시절에. 근접 신관이 장착된 탄도탄을 발사합니다. 그로 인한 폭발은 표준 표적에 비해 상당한 살상 반경을 지닌 넓은 양의 화살촉 우박을 보냅니다. 최신 모델에는 Mark VI 예측기에 내장된 사격 통제 시스템이 탑재되어 있습니다.",,,,
heavymg,WEAPON,"유비쿼터스 속사 기관총 범주의 무기 중 더 큰 사촌격인 Heavy MG는 중소형 목표 모두에 효과적입니다. 오래된 지구의 시대로 거슬러 올라갑니다. 안전 기능에는 개방형 볼트 제거 및 이중 램 방지를 위한 확실한 쿡오프 안전이 포함됩니다. 이 무기는 일반적으로 장기간 사격 시 반동을 흡수하는 데 도움이 되도록 상대적으로 거대한 베이스에 장착됩니다. 구경은 적당한 범위 내에서 다양하며 탄약은 표준 단조로 쉽게 제작됩니다. 
 
 더 무거운 발사체는 가벼운 탄약처럼 충격에도 부서지지 않으며 프리깃급 함선에 확실한 위협이 됩니다. 매우 정확하지만 발칸 대포보다 발사 속도가 느립니다. 포인트 방어 역할에 탁월합니다.",,,,
arbalest,WEAPON,"크기에 비해 한 발당 피해량이 높은 구식 무기 디자인입니다. 운동 포탄은 적의 방어막에 특히 효과적입니다.
 
 붕괴 당시 더 무거운 순찰선에는 대부분 Arbalest Mk I 무기 플랫폼이 장착되었습니다. 이는 Arbalest가 해당 섹터에서 가장 많이 폐기된 함선 무기 시스템 중 하나로 주장되는 이유를 설명합니다. 원시적인 냉각 시스템과 자동 이젝터의 부족으로 인해 발사 속도와 안정성이 저하됩니다. 
 
 유일한 상환 기능은 적의 보호막을 무너뜨리는 데 효과적인 석궁 라운드에 대한 청사진이 어디에나 있다는 것입니다. 포탄의 효과는 제대로 이해되지 않았으며 포탄 재킷의 의도하지 않은 전자기 특성에 있는 것으로 의심됩니다.",,,,
dualflak,WEAPON,"업그레이드되고 강력하게 효과적인 대공포 대포의 이중 마운트입니다. 다가오는 전투기를 찢어발기는 능력으로 인해 ""위도우메이커""라는 별명을 얻었습니다.
 
 표준 대공포와 마찬가지로 이 무기는 두 개의 근접 신관 장착 탄환을 발사하지만 더 작은 전투기와 미사일 표적을 파괴합니다. 모양의 분산은 이중 폭발과 더 높은 살상 반경을 보장합니다. 전투기는 명백한 이유로 Dual Flak을 장착한 함선에 대해 의도적으로 발사되는 경우가 거의 없습니다. 연사력과 포탑 회전율이 뛰어납니다.",,,,
chaingun,WEAPON,"GA-X 인더스트리 Mk. II 체인건은 전체 데미지와 화력보다 정확도가 덜 중요한 근거리 전투에 탁월합니다.
 
 '근접' 대장이 가장 좋아하는 도구인 어썰트 체인건은 무시무시한 속도로 목표물에 고폭성 돌격탄을 발사합니다. 동력 공급 및 이젝터 시스템과 배럴에 바로 내장된 고급 나노 냉각 장치가 특징입니다. 
 
 유일한 단점은 거버너 청사진이 부족하고 일반적으로 호환되지 않는 회전 장치에 장착되어 예기치 않게 낮은 터렛 회전 속도를 발생시키는 무거운 터렛 프로필입니다.",,,,
heavymauler,WEAPON,"장거리에서 장갑판을 뚫을 수 있도록 설계된 첨단 무기 시스템입니다. 지속 연사 속도는 낮지만 폭발당 피해량이 높습니다.
 
 중형 망치는 중장거리의 표적과 교전하도록 설계된 잔혹한 무기입니다. 이 무기의 핵심은 나노 냉각 시스템과 외부 방출 포트를 갖춘 기관포입니다. 그러나 일반 기관포와는 달리 중형 마울러는 소량의 표준 우주선 연료를 공급하는 반물질 배럴 충전기로 구별됩니다. 껍질의 앞쪽은 중입자 코팅으로 안정되어 있습니다. 표적과 충돌하면 이 반양성자 ""외피""는 구조적 완전성을 잃고 그 결과로 발생하는 반응으로 인해 추가 손상이 발생합니다. 포탄이 이미 표적에 인상적인 파괴력을 전달한다는 사실을 고려하면, 결합된 반응으로 인해 중형 공격자는 장갑 표적에 대해 특히 효과적입니다.",,,,
heavyac,WEAPON,"중거리에서 표준화된 포탄을 폭발적으로 발사하는 3연장 대포입니다. 적의 방패에 대해 가장 효과적입니다.
 
 중구경, 3연장 자동포, 일반적으로 중구경 탄약과 함께 배치됩니다. 전기적으로 프라이밍된 점화 퓨즈는 정확한 화재 횟수를 보장합니다. 훌륭한 화력 지원 무기인 이 무기는 일반적으로 구축함과 순양함급 함선에 장착됩니다. 적절한 발사 솔루션을 갖춘 중기관포 포대는 주력함에게 심각한 위협이 될 수 있습니다. 
 
 복잡한 자동 로더와 냉각 시스템을 수용하기 위한 추가적인 질량 필요성으로 인해 선회율이 매우 저하됩니다.",,,,
hveldriver,WEAPON,"멀리서 적 시스템에 과부하를 걸고 무력화하도록 설계된 특수 무기입니다. 고속 듀라늄 슬러그는 실드에도 효과적입니다.
 
 초고속 드라이버는 2단계 프로세스를 사용하여 자화된 철-코발트 코어가 있는 듀라늄 슬러그를 매우 높은 속도로 가속합니다. 화학 전하가 먼저 슬러그를 가속시킨 다음 자기 코일이 인계받아 슬러그를 더욱 가속시키고 비행을 안정화시킵니다. 슬러그는 목표물에 도달할 때쯤에는 강하게 충전되어 충돌하는 함선에 상당한 양의 전자기 간섭을 생성합니다.",,,,
heavyneedler,WEAPON,"더 무거운 베이스를 갖춘 Light Needler의 이중 장착형인 이 고급 무기 시스템은 실드 프로젝터를 빠르게 압도할 수 있습니다.
 
 Heavy Needler는 작은 화살탄을 발사하는 고급 무기입니다. Light Needler를 개선한 이 제품은 더 나은 공급 및 냉각 시스템을 갖추고 있어 훨씬 더 빠른 발사 속도를 가능하게 합니다. 발사체는 경량 버전과 동일합니다: 케이스가 없는 탄약 텅스텐 자켓의 화살촉입니다.",,,,
